Date,Open,High,Low,Close,Adj Close,Volume
2015-12-18,29800,30700,29800,30600,28576.22266,2854920
2015-12-21,30450,30800,30250,30500,28482.83789,1576561
2015-12-22,31000,32200,30800,32200,30070.40625,6861264
2015-12-23,32100,33000,31900,32700,30537.33594,5331047
2015-12-24,32950,33150,31700,31700,29603.47266,3624175
2015-12-28,31750,31850,30900,30900,28856.38281,2535636
2015-12-29,30900,31550,30800,31200,29615.76172,1965713
2015-12-30,31100,31450,30550,30750,29188.60938,1801261
2016-01-04,30550,30750,30150,30150,28619.07813,1878039
2016-01-05,30500,31200,30350,30600,29046.22656,2482905
2016-01-06,30600,30900,30300,30750,29188.60938,2461593
2016-01-07,30400,30750,30200,30200,28666.53906,2424880
2016-01-08,29800,30100,29550,29700,28191.92773,3967121
2016-01-11,29400,29500,28600,28650,27195.24219,5358223
2016-01-12,28600,28900,27700,27800,26388.40234,4418384
2016-01-13,28100,28450,28000,28100,26673.16992,3481523
2016-01-14,27300,27900,27200,27900,26483.32422,3957935
2016-01-15,27950,28300,26800,26800,25439.18164,5431851
2016-01-18,25900,27000,25800,26700,25344.25781,3658921
2016-01-19,26700,28300,26700,28300,26863.01563,4291742
2016-01-20,28050,28100,26750,26800,25439.18164,4186899
2016-01-21,26600,27250,26600,26600,25249.33594,2840628
2016-01-22,27200,27600,27000,27150,25771.40625,2361216
2016-01-25,27550,28200,27300,28000,26578.24609,2977310
2016-01-26,28000,29100,27750,27850,26435.86328,5351814
2016-01-27,28100,28350,27250,27650,26246.01953,3205822
2016-01-28,27450,27750,26850,27650,26246.01953,3035447
2016-01-29,27250,27350,26950,27300,25913.79102,2898720
2016-02-01,28100,28650,27700,28400,26957.9375,4767927
2016-02-02,28450,28800,28150,28450,27005.39844,2865209
2016-02-03,27600,27850,27200,27450,26056.17578,2705269
2016-02-04,27700,28150,27600,28100,26673.16992,2459305
2016-02-05,28100,28350,27900,28100,26673.16992,1484771
2016-02-11,27000,27400,26950,27150,25771.40625,2468082
2016-02-12,26850,27750,26850,27350,25961.25195,2429857
2016-02-15,27750,28200,27500,27700,26293.48047,2162111
2016-02-16,27850,29000,27800,28900,27432.54883,3851681
2016-02-17,29250,30300,29150,30050,28524.15625,6106318
2016-02-18,30550,30850,29800,30200,28666.53906,2972873
2016-02-19,29950,30050,29250,29600,28097.00586,2336536
2016-02-22,29400,30000,29400,29900,28381.77148,1366180
2016-02-23,30100,30600,30000,30400,28856.38281,2123648
2016-02-24,31050,31250,30600,30900,29330.99609,3480563
2016-02-25,31400,31500,30650,30800,29236.07031,2527297
2016-02-26,31000,31100,30450,30800,29236.07031,1282277
2016-02-29,30800,30900,29600,30000,28476.69531,2989861
2016-03-02,31050,31300,30650,30950,29378.45703,3567312
2016-03-03,31550,32000,31100,31950,30327.67969,3898363
2016-03-04,31800,32100,31550,31900,30280.21875,1913316
2016-03-07,32150,32250,31500,31900,30280.21875,3487206
2016-03-08,31200,31500,30300,30500,28951.30469,4616147
2016-03-09,29900,30550,29650,30550,28998.76563,3503375
2016-03-10,30550,30650,30150,30300,28761.46094,2734070
2016-03-11,29900,30850,29900,30700,29141.14844,2117430
2016-03-14,31100,31100,30250,30350,28808.92188,2062549
2016-03-15,30350,30550,29750,29900,28381.77148,2078857
2016-03-16,29900,29950,29050,29200,27717.31641,2902896
2016-03-17,29350,29750,29100,29250,27764.77734,2768278
2016-03-18,29500,29900,29250,29450,27954.62109,2864640
2016-03-21,29800,29850,29300,29550,28049.54492,1783055
2016-03-22,29700,30200,29550,30200,28666.53906,2546366
2016-03-23,30100,30450,29850,30250,28714,1868041
2016-03-24,29850,29900,29350,29450,27954.62109,3587082
2016-03-25,29450,29500,28900,29150,27669.85547,1978956
2016-03-28,29000,29050,28150,28550,27100.32031,2795412
2016-03-29,28850,29150,28700,28900,27432.54883,2343876
2016-03-30,29150,29500,28650,28650,27195.24219,3512889
2016-03-31,28700,28850,28000,28150,26720.63281,4336581
2016-04-01,28450,28500,28050,28200,26768.09375,2991431
2016-04-04,28100,28150,27800,27900,26483.32422,2823088
2016-04-05,27900,28100,27600,27850,26435.86328,2032745
2016-04-06,27550,27850,27450,27500,26103.63672,2410844
2016-04-07,27450,27450,26750,26900,25534.10352,4588396
2016-04-08,26950,27800,26900,27800,26388.40234,3718690
2016-04-11,27600,27700,27150,27150,25771.40625,2425426
2016-04-12,27200,27550,27100,27150,25771.40625,1850577
2016-04-14,27600,27850,27250,27250,25866.33008,4761215
2016-04-15,27450,27800,27350,27650,26246.01953,2785108
2016-04-18,28000,28150,27200,27200,25818.86914,3861103
2016-04-19,27500,27550,27350,27450,26056.17578,1843729
2016-04-20,27500,28000,27500,27550,26151.09766,3231788
2016-04-21,27700,27950,27500,27550,26151.09766,2999400
2016-04-22,27450,27800,27350,27500,26103.63672,1556764
2016-04-25,27650,27800,27350,27500,26103.63672,1506644
2016-04-26,27550,29200,27550,29150,27669.85547,7750203
2016-04-27,29300,29750,29000,29150,27669.85547,6213757
2016-04-28,29100,29150,27850,27900,26483.32422,6766879
2016-04-29,27700,28250,27500,28150,26720.63281,2878692
2016-05-02,27950,28300,27750,27850,26435.86328,1306092
2016-05-03,27950,28100,27650,27650,26246.01953,1373116
2016-05-04,27450,27500,26500,26650,25296.79688,4388484
2016-05-09,26150,26550,25700,25750,24442.49609,5185089
2016-05-10,25750,26400,25750,26400,25059.49219,2564593
2016-05-11,26500,26550,26100,26200,24869.64648,1735332
2016-05-12,26050,26250,25850,26100,24774.72461,1759282
2016-05-13,26100,26250,25900,26100,24774.72461,1849910
2016-05-16,26100,26300,25900,26100,24774.72461,1337159
2016-05-17,26250,26300,25900,25900,24584.87891,1545947
2016-05-18,25800,26400,25650,26200,24869.64648,2474774
2016-05-19,26750,26900,26400,26600,25249.33594,4367007
2016-05-20,26600,26650,26250,26300,24964.57031,2245019
2016-05-23,26800,27450,26650,27200,25818.86914,4534043
2016-05-24,27350,27350,26700,26850,25486.64258,2428278
2016-05-25,27450,27450,26950,27050,25676.48438,2250906
2016-05-26,27150,27200,26850,27000,25629.02539,1938084
2016-05-27,27200,28750,27150,28650,27195.24219,7719656
2016-05-30,28850,29400,28650,29000,27527.4707,5492886
2016-05-31,28650,29000,28200,28700,27242.70313,5414611
2016-06-01,28850,29000,28400,28500,27052.85938,3630711
2016-06-02,28600,29050,28000,28050,26625.70703,3443745
2016-06-03,28150,28450,27400,27600,26198.55859,3680988
2016-06-07,27700,28750,27650,28650,27195.24219,4435065
2016-06-08,29050,29300,28450,28550,27100.32031,3940058
2016-06-09,28700,29400,28650,29000,27527.4707,5336122
2016-06-10,29150,29200,28700,29000,27527.4707,2413698
2016-06-13,28650,28700,28000,28350,26910.47656,2607031
2016-06-14,28150,29300,28150,29050,27574.93359,3490535
2016-06-15,29350,30150,29300,29950,28429.23438,5751526
2016-06-16,30250,30400,29350,29650,28144.4668,3687253
2016-06-17,30000,30000,28750,29000,27527.4707,2891783
2016-06-20,29800,30050,29050,30050,28524.15625,4501015
2016-06-21,30050,30150,29550,29800,28286.84961,2376833
2016-06-22,30200,30950,30000,30950,29378.45703,5122638
2016-06-23,30900,31800,30850,31750,30137.83398,7147499
2016-06-24,32800,33100,30450,31800,30185.29688,16852175
2016-06-27,31350,32050,31050,32050,30422.60156,6146337
2016-06-28,31150,31600,30650,31150,29568.30078,5072467
2016-06-29,31800,32200,31700,31800,30185.29688,3801424
2016-06-30,32000,32550,31700,32400,30754.83008,4571310
2016-07-01,31800,32700,31600,32150,30517.52344,5289586
2016-07-04,32250,32900,32050,32750,31087.05859,3192033
2016-07-05,32650,32650,31850,31850,30232.75781,2577231
2016-07-06,31100,31350,30300,30600,29046.22656,6314347
2016-07-07,30750,31350,30600,30650,29093.6875,2715183
2016-07-08,30700,31250,30550,31050,29473.37891,2424460
2016-07-11,31750,32300,31650,32000,30375.14063,3938161
2016-07-12,32250,32300,31550,32000,30375.14063,2523664
2016-07-13,32700,32950,32450,32650,30992.13477,3779418
2016-07-14,32500,33300,32450,33050,31371.82617,3145494
2016-07-15,33300,33500,32650,32700,31039.5957,2580255
2016-07-18,32900,33100,32500,32750,31087.05859,1515167
2016-07-19,32900,33000,31950,32450,30802.29102,2340759
2016-07-20,32300,32400,31850,32100,30470.0625,1775583
2016-07-21,32400,32800,32100,32150,30517.52344,1879147
2016-07-22,32150,32150,31200,32000,30375.14063,2442893
2016-07-25,32300,32650,32150,32500,30849.75195,2147590
2016-07-26,32400,32400,31100,32050,30422.60156,5028045
2016-07-27,32600,33450,32550,33450,31751.51172,4762165
2016-07-28,33150,33550,33000,33550,31846.43555,3586965
2016-07-29,33550,34400,33450,34400,32653.27539,4660512
2016-08-01,34700,35300,34600,34850,33080.42969,3274413
2016-08-02,34600,34700,33650,33750,32036.2793,2123735
2016-08-03,33300,34400,33000,33550,31846.43555,2698841
2016-08-04,33950,34200,33350,33650,31941.35742,1477680
2016-08-05,34300,34900,33950,34800,33032.96875,2830058
2016-08-08,35150,35250,34400,34950,33175.34766,2157854
2016-08-09,34850,35200,34450,35050,33270.26953,2112078
